#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-08-29T22:59:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57c4b45127c9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/139/120&tab:{J/AJ/139/120/table2}&key:source=J/AJ/139/120/table2&HTTPPRM:&&-ref=VIZ57c4b45127c9&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=SN&-out=f_SN&-out=Band&-out=Tmax&-out=e_Tmax&-out=mmax&-out=e_mmax&-out=Dm&-out=e_Dm&-out=Epmin&-out=Epmax&-out=Np&-out=Fit&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/139/120/table2&
#-source= J/AJ/139/120/table2
#-order=I
#-out=SN
#-out=f_SN
#-out=Band
#-out=Tmax
#-out=e_Tmax
#-out=mmax
#-out=e_mmax
#-out=Dm
#-out=e_Dm
#-out=Epmin
#-out=Epmax
#-out=Np
#-out=Fit
#-out.src=J/AJ/139/120/table2
#

#RESOURCE=yCat_51390120
#Name: J/AJ/139/120
#Title: Low-redshift Type-Ia supernovae (Folatelli+, 2010)
#Table	J_AJ_139_120_table2:
#Name: J/AJ/139/120/table2
#Title: Light-curve parameters
#Column	SN	(A6)	SN name \linkRole{observational properties }	[ucd=meta.id;meta.main]
#Column	f_SN	(A1)	[B] Indicates part of "best-observed" group	[ucd=meta.code]
#Column	Band	(A1)	Filter name	[ucd=instr.bandpass]
#Column	Tmax	(F7.2)	Julian Date of maximum; minus 2453000	[ucd=time.epoch;stat.max]
#Column	e_Tmax	(F5.2)	Uncertainty in Tmax	[ucd=stat.error]
#Column	mmax	(F6.3)	Apparent peak magnitude; K-corrected	[ucd=phot.mag]
#Column	e_mmax	(F6.3)	Uncertainty in mmax	[ucd=stat.error]
#Column	Dm	(F6.3)	? Decline rate (1)	[ucd=src.var.amplitude]
#Column	e_Dm	(F6.3)	? Uncertainty Dm	[ucd=stat.error]
#Column	Epmin	(F5.1)	First epoch covered by data (2)	[ucd=time.epoch]
#Column	Epmax	(F6.1)	Last epoch covered by data (2)	[ucd=time.epoch]
#Column	Np	(I2)	[2/62] Number of data points	[ucd=meta.number]
#Column	Fit	(A6)	Fit method; "Spline" or "Templ." (template fit) see section 2.2 for details.	[ucd=meta.note]
SN	f_SN	Band	Tmax	e_Tmax	mmax	e_mmax	Dm	e_Dm	Epmin	Epmax	Np	Fit
2005W 	B	u	 410.86	 0.16	15.014	 0.007	 1.277	 0.119	 -6.3	  16.5	18	Spline
2005W 	B	g	 412.55	 0.14	14.330	 0.009	 0.791	 0.027	 -7.9	  16.8	20	Spline
2005W 	B	r	 413.88	 0.53	14.196	 0.009	      	      	 -9.3	  15.5	21	Spline
2005W 	B	i	 408.44	 0.43	14.637	 0.009	      	      	 -3.9	  20.9	19	Spline
2005ag	B	B	 413.53	 0.13	18.593	 0.006	      	      	 -0.8	  73.2	44	Templ.
2005ag	B	V	 415.14	 0.13	18.550	 0.006	      	      	 -2.5	  71.4	44	Templ.
2005ag	B	g	 413.98	 0.13	18.551	 0.005	      	      	 -1.3	  72.6	44	Templ.
2005ag	B	r	 415.70	 0.13	18.631	 0.005	      	      	 -3.1	  70.8	46	Templ.
2005ag	B	i	 411.23	 0.13	18.955	 0.020	      	      	  1.7	  75.6	44	Templ.
2005ag	B	Y	 408.79	 0.13	19.325	 0.021	      	      	 10.9	  45.7	10	Templ.
2005ag	B	J	 410.18	 0.13	19.255	 0.037	      	      	  9.4	  44.2	10	Templ.
2005ag	B	H	 409.65	 0.13	19.067	 0.055	      	      	 10.0	  44.8	10	Templ.
2005al	B	B	 430.84	 0.30	15.084	 0.006	 0.630	 0.009	 -1.1	  80.9	35	Spline
2005al	B	V	 431.57	 0.38	15.076	 0.005	 1.066	 0.010	 -1.8	  80.2	36	Spline
2005al	B	u	 429.12	 0.11	15.530	 0.014	 1.565	 0.017	  0.6	  84.7	35	Templ.
2005al	B	g	 430.65	 0.15	15.033	 0.004	 0.935	 0.009	 -0.9	  81.1	35	Spline
2005al	B	r	 431.91	 0.48	15.122	 0.007	 1.573	 0.012	 -2.1	  79.9	36	Spline
2005al	B	i	 427.98	 0.11	15.729	 0.009	      	      	  1.8	  85.9	35	Templ.
2005al	B	Y	 426.43	 0.11	15.677	 0.013	      	      	  7.5	  36.8	12	Templ.
2005al	B	J	 427.05	 0.11	15.531	 0.015	      	      	  6.9	  36.2	13	Templ.
2005al	B	H	 426.67	 0.11	15.808	 0.017	      	      	  7.3	  36.6	13	Templ.
2005al	B	K	 428.05	 0.11	15.720	 0.064	      	      	  5.9	  35.2	 9	Templ.
2005am	B	B	 436.86	 0.07	13.857	 0.003	 0.775	 0.007	 -4.3	  75.0	37	Spline
2005am	B	V	 438.45	 0.12	13.760	 0.003	 1.256	 0.007	 -5.8	  73.4	37	Spline
2005am	B	u	 435.63	 0.05	14.408	 0.005	 1.750	 0.014	 -3.0	  76.2	37	Spline
2005am	B	g	 437.28	 0.03	13.780	 0.002	 1.152	 0.008	 -4.7	  74.6	38	Spline
2005am	B	r	 438.43	 0.10	13.742	 0.005	 1.741	 0.009	 -5.8	  73.4	38	Spline
2005am	B	i	 435.36	 0.08	14.254	 0.010	      	      	 -2.8	  77.7	36	Templ.
2005am	B	J	 434.10	 0.08	14.009	 0.014	      	      	 -0.4	  28.7	12	Templ.
2005am	B	H	 434.26	 0.08	14.132	 0.011	      	      	 -0.6	  28.5	14	Templ.
2005am	B	K	 434.50	 0.08	14.135	 0.043	      	      	 -0.8	  28.2	14	Templ.
2005be	 	B	 460.59	 0.28	17.023	 0.035	      	      	  7.6	  32.3	13	Templ.
2005be	 	V	 462.12	 0.28	16.974	 0.030	      	      	  6.0	  30.7	13	Templ.
2005be	 	u	 459.00	 0.28	17.364	 0.042	      	      	  9.2	  25.7	 9	Templ.
2005be	 	g	 461.12	 0.28	16.950	 0.032	      	      	  7.0	  31.7	12	Templ.
2005be	 	r	 461.90	 0.28	17.054	 0.028	      	      	  6.2	  30.9	12	Templ.
2005be	 	i	 458.83	 0.28	17.630	 0.020	      	      	  9.4	  34.1	12	Templ.
2005bg	 	B	 470.70	 0.33	16.010	 0.042	      	      	  1.0	  42.9	16	Templ.
2005bg	 	V	 471.89	 0.33	15.941	 0.044	      	      	 -0.3	  41.7	16	Templ.
2005bg	 	u	 469.24	 0.33	16.400	 0.037	      	      	  3.5	  22.9	13	Templ.
2005bg	 	g	 471.13	 0.33	15.997	 0.043	      	      	  1.6	  42.5	15	Templ.
2005bg	 	r	 472.08	 0.33	16.082	 0.046	      	      	  0.6	  41.5	15	Templ.
2005bg	 	i	 467.74	 0.33	16.676	 0.052	      	      	  5.1	  45.9	15	Templ.
2005bl	B	B	 484.25	 0.36	18.336	 0.031	      	      	 -7.5	  27.6	12	Spline
2005bl	B	V	 485.39	 0.11	17.753	 0.017	      	      	 -8.6	  26.5	12	Spline
2005bl	B	u	 481.42	 0.67	19.784	 0.076	      	      	 -4.7	   9.9	10	Spline
2005bl	B	g	 484.03	 0.53	18.129	 0.057	      	      	 -7.3	  27.9	12	Spline
2005bl	B	r	 486.31	 0.12	17.694	 0.004	      	      	 -9.5	  25.7	12	Spline
2005bl	B	i	 486.50	 0.09	17.791	 0.006	      	      	 -9.6	  25.5	12	Spline
2005bo	B	B	 479.76	 0.08	15.845	 0.009	      	      	 -1.0	  32.6	 9	Spline
2005bo	B	V	 480.80	 0.14	15.515	 0.015	      	      	 -2.0	  31.5	10	Spline
2005bo	B	u	 477.62	 0.14	16.463	 0.036	      	      	  1.1	  14.3	 8	Templ.
2005bo	B	g	 480.29	 0.22	15.701	 0.007	      	      	 -1.5	  32.0	 9	Spline
2005bo	B	r	 480.95	 0.28	15.457	 0.010	      	      	 -2.2	  31.4	 9	Spline
2005bo	B	i	 476.50	 0.14	15.790	 0.027	      	      	  2.3	  36.8	 9	Templ.
2005el	B	B	 647.24	 0.05	15.290	 0.008	 0.657	 0.010	 -7.2	  82.3	25	Spline
2005el	B	V	 647.89	 0.08	15.235	 0.005	 1.121	 0.007	 -7.9	  81.6	24	Spline
2005el	B	u	 645.52	 0.03	15.664	 0.006	 1.540	 0.017	 -5.6	  84.0	24	Spline
2005el	B	g	 647.34	 0.04	15.167	 0.010	 1.039	 0.011	 -7.4	  82.2	24	Spline
2005el	B	r	 646.89	 0.08	15.290	 0.009	 1.485	 0.014	 -6.9	  82.6	24	Spline
2005el	B	i	 643.75	 0.17	15.714	 0.006	 1.285	 0.013	 -3.8	  85.7	25	Spline
2005el	B	Y	 642.35	 0.03	15.514	 0.010	 0.377	 0.018	 -1.5	  72.3	42	Spline
2005el	B	J	 642.81	 0.13	15.584	 0.007	 2.443	 0.044	 -1.9	  71.8	36	Spline
2005el	B	H	 642.22	 0.13	15.642	 0.009	 0.995	 0.032	 -1.3	  72.4	27	Spline
2005el	B	K	 644.59	 0.07	15.572	 0.135	      	      	 -2.9	  37.6	 4	Templ.
2005eq	B	B	 654.17	 0.14	16.591	 0.006	 0.321	 0.011	 -3.3	  94.7	27	Spline
2005eq	B	V	 655.68	 0.25	16.453	 0.007	 0.793	 0.017	 -4.8	  93.3	27	Spline
2005eq	B	u	 652.10	 0.09	16.914	 0.013	 0.894	 0.344	 -1.3	  62.4	19	Templ.
2005eq	B	g	 654.46	 0.16	16.496	 0.005	 0.562	 0.008	 -3.6	  94.5	27	Spline
2005eq	B	r	 656.16	 0.13	16.485	 0.006	 0.966	 0.013	 -5.2	  92.8	27	Spline
2005eq	B	i	 652.23	 0.09	17.032	 0.050	      	      	 -1.4	 102.4	27	Templ.
2005eq	B	Y	 649.80	 0.09	16.902	 0.050	      	      	 -2.0	  62.7	28	Templ.
2005eq	B	J	 650.64	 0.09	16.872	 0.029	      	      	 -2.9	  61.8	26	Templ.
2005eq	B	H	 650.24	 0.09	17.090	 0.039	      	      	 -1.5	  43.8	11	Templ.
2005eq	B	K	 651.28	 0.09	16.611	 0.073	      	      	  2.6	   2.6	 2	Templ.
2005hc	B	B	 667.14	 0.08	17.426	 0.004	 0.425	 0.018	 -4.2	  80.8	24	Spline
2005hc	B	V	 668.88	 0.65	17.403	 0.006	 0.822	 0.020	 -5.9	  82.9	25	Spline
2005hc	B	u	 666.28	 0.16	17.875	 0.009	 1.066	 0.037	 -3.4	  23.4	11	Spline
2005hc	B	g	 667.69	 0.16	17.368	 0.005	 0.700	 0.024	 -4.7	  84.0	23	Spline
2005hc	B	r	 669.01	 0.13	17.469	 0.005	 1.028	 0.012	 -6.0	  82.8	23	Spline
2005hc	B	i	 665.13	 0.08	18.143	 0.008	      	      	 -2.5	  79.1	22	Templ.
2005hc	B	Y	 662.73	 0.08	17.786	 0.050	      	      	 -1.1	  50.2	23	Templ.
2005hc	B	J	 664.16	 0.08	17.936	 0.046	      	      	 -2.6	  48.7	22	Templ.
2005hc	B	H	 662.92	 0.08	17.999	 0.103	      	      	 -1.2	  35.5	13	Templ.
2005iq	B	B	 687.78	 0.06	16.861	 0.007	 0.633	 0.012	 -5.1	  65.5	20	Spline
2005iq	B	V	 689.70	 0.17	16.872	 0.010	 1.139	 0.020	 -6.9	  63.7	21	Spline
2005iq	B	u	 686.49	 0.10	17.227	 0.010	 1.329	 0.041	 -3.8	  58.1	17	Spline
2005iq	B	g	 688.16	 0.07	16.804	 0.007	 0.988	 0.011	 -5.4	  65.2	20	Spline
2005iq	B	r	 689.08	 0.17	16.957	 0.007	 1.482	 0.018	 -6.3	  64.3	20	Spline
2005iq	B	i	 684.38	 0.09	17.421	 0.011	 1.111	 0.025	 -1.8	  68.8	20	Spline
2005iq	B	Y	 683.67	 0.06	17.224	 0.050	      	      	  2.0	  50.7	22	Templ.
2005iq	B	J	 684.33	 0.06	17.402	 0.045	      	      	  1.3	  50.0	19	Templ.
2005iq	B	H	 684.21	 0.06	17.363	 0.050	      	      	  1.7	  39.0	20	Templ.
2005ir	B	B	 685.60	 1.26	18.518	 0.024	 0.483	 0.030	 -2.8	  40.0	12	Spline
2005ir	B	V	 688.25	 1.09	18.429	 0.026	 1.015	 0.034	 -5.2	  48.6	14	Spline
2005ir	B	u	 683.37	 0.23	18.889	 0.054	      	      	  0.3	  22.0	 8	Templ.
2005ir	B	g	 685.81	 0.61	18.497	 0.014	 0.776	 0.024	 -3.0	  20.3	10	Spline
2005ir	B	r	 687.61	 0.33	18.512	 0.021	      	      	 -4.6	  18.7	10	Spline
2005ir	B	i	 681.96	 0.23	19.163	 0.053	 0.739	 0.126	  0.7	  61.3	12	Templ.
2005kc	B	B	 697.75	 0.06	16.033	 0.005	 0.560	 0.012	-10.1	  30.3	13	Spline
2005kc	B	V	 699.56	 0.12	15.742	 0.006	 1.028	 0.012	-11.9	  28.5	13	Spline
2005kc	B	u	 696.50	 0.16	16.704	 0.010	 1.465	 0.034	 -8.8	  23.7	11	Spline
2005kc	B	g	 698.39	 0.08	15.886	 0.005	 0.894	 0.011	-10.7	  29.7	13	Spline
2005kc	B	r	 699.92	 0.42	15.633	 0.005	      	      	-12.2	  20.3	12	Spline
2005kc	B	i	 695.40	 0.05	15.924	 0.006	      	      	 -7.8	  32.7	13	Spline
2005kc	B	Y	 694.18	 0.10	15.649	 0.009	      	      	 -5.5	  24.0	18	Spline
2005kc	B	J	 694.56	 0.11	15.494	 0.009	      	      	 -5.9	  23.6	16	Spline
2005kc	B	H	 693.99	 0.20	15.628	 0.039	      	      	 -5.3	  20.3	16	Spline
2005ke	B	B	 699.16	 0.04	14.882	 0.005	 1.273	 0.010	 -9.4	 267.4	39	Spline
2005ke	B	V	 701.57	 0.07	14.185	 0.004	 1.657	 0.011	-11.8	 265.0	39	Spline
2005ke	B	u	 698.05	 0.15	16.148	 0.008	 1.885	 0.027	 -8.3	 268.5	36	Spline
2005ke	B	g	 699.92	 0.02	14.499	 0.003	 1.639	 0.007	-10.2	 266.7	39	Spline
2005ke	B	r	 702.20	 0.07	14.062	 0.003	 2.076	 0.008	-12.4	 263.3	40	Spline
2005ke	B	i	 701.80	 0.06	14.317	 0.004	 2.021	 0.010	-12.0	 264.8	39	Spline
2005ke	B	Y	 701.41	 0.17	14.076	 0.007	 1.390	 0.018	 -9.6	  87.7	57	Spline
2005ke	B	J	 700.50	 0.06	14.021	 0.007	 3.389	 0.021	 -8.7	  88.6	54	Spline
2005ke	B	H	 701.76	 0.18	13.951	 0.007	 2.253	 0.013	 -9.9	  87.4	56	Spline
2005ki	B	B	 705.59	 0.11	15.705	 0.005	 0.641	 0.009	 -9.5	 152.9	43	Spline
2005ki	B	V	 706.70	 0.09	15.672	 0.005	 1.143	 0.010	-10.6	 151.8	43	Spline
2005ki	B	u	 702.77	 0.10	16.050	 0.008	 1.336	 0.032	 -6.8	  80.4	31	Spline
2005ki	B	g	 706.13	 0.07	15.629	 0.004	 1.063	 0.009	-10.1	 152.4	47	Spline
2005ki	B	r	 707.03	 1.21	15.737	 0.020	 1.651	 0.022	-11.0	 151.5	47	Spline
2005ki	B	i	 701.33	 0.23	16.208	 0.015	 1.225	 0.019	 -5.4	 157.1	47	Spline
2005ki	B	Y	 701.75	 0.05	16.230	 0.013	 0.278	 0.021	 -4.8	  54.0	22	Spline
2005ki	B	J	 702.08	 1.28	16.163	 0.072	 1.921	 0.083	 -5.1	  53.7	21	Spline
2005ki	B	H	 702.03	 0.44	16.236	 0.027	 1.072	 0.047	 -4.1	  53.8	17	Spline
2005lu	 	B	 711.90	 0.45	17.380	 0.018	      	      	  9.0	  90.5	17	Templ.
2005lu	 	V	 713.27	 0.45	17.163	 0.013	      	      	  7.6	  89.1	17	Templ.
2005lu	 	u	 710.36	 0.45	17.920	 0.058	      	      	 10.6	  28.2	 5	Templ.
2005lu	 	g	 712.35	 0.45	17.225	 0.014	      	      	  8.5	  50.9	10	Templ.
2005lu	 	r	 713.73	 0.45	17.135	 0.011	      	      	  7.1	  88.6	16	Templ.
2005lu	 	i	 709.23	 0.45	17.659	 0.015	      	      	 11.8	  93.3	16	Templ.
2005na	B	B	 740.02	 0.20	16.281	 0.009	 0.420	 0.012	 -1.3	  92.1	26	Spline
2005na	B	V	 741.70	 0.29	16.257	 0.006	 0.967	 0.011	 -2.9	  90.4	27	Spline
2005na	B	u	 738.81	 0.17	16.442	 0.072	 1.369	 0.231	 -0.1	  47.0	17	Templ.
2005na	B	g	 740.20	 0.31	16.235	 0.006	 0.740	 0.008	 -1.5	  76.3	26	Spline
2005na	B	r	 742.25	 0.11	16.306	 0.006	 1.238	 0.013	 -3.5	  89.9	27	Spline
2005na	B	i	 737.51	 0.17	16.754	 0.050	      	      	  1.2	  99.7	27	Templ.
2005na	B	Y	 735.52	 0.17	16.912	 0.017	      	      	 18.6	  71.9	21	Templ.
2005na	B	J	 736.69	 0.17	16.738	 0.041	      	      	 17.4	  70.7	13	Templ.
2005na	B	H	 736.14	 0.17	16.975	 0.047	      	      	 18.0	  71.3	16	Templ.
2006D 	B	B	 757.95	 0.10	14.321	 0.006	 0.773	 0.007	 -6.1	 111.8	39	Spline
2006D 	B	V	 759.24	 0.13	14.180	 0.004	 1.226	 0.010	 -7.3	 110.5	41	Spline
2006D 	B	u	 755.54	 0.15	14.994	 0.013	 1.564	 0.018	 -3.7	  84.4	32	Spline
2006D 	B	g	 758.20	 0.08	14.225	 0.004	 1.097	 0.006	 -6.3	 111.5	42	Spline
2006D 	B	r	 758.60	 0.09	14.185	 0.006	 1.670	 0.010	 -6.7	 111.1	42	Spline
2006D 	B	i	 755.23	 0.07	14.595	 0.005	 1.420	 0.009	 -3.3	 114.5	42	Spline
